Uid,r_id
12169,20094
12169,49746
12170,21453
12170,37583
12171,29471
12172,43774
12173,1348
12174,1112
12175,48132
12176,21335
1131,4923
1131,16365
1131,21335
1131,30606
1131,37583
1131,48118
12177,22175
12178,29680
12178,39756
12178,50505
12179,32937
12180,22175
12180,23764
12180,49012
12181,506
12182,31393
12183,971
12184,52428
12185,20852
12186,16365
12186,21753
12186,37583
12186,51000
12187,21182
12187,24769
12188,37962
12189,2953
12189,45004
12189,48118
12190,248
12191,34273
12191,37951
12192,42189
12193,2652
12194,9242
12194,32197
12194,43964
12195,33605
12196,23368
1945,20416
1945,33594
1945,34490
1945,37962
1945,50925
12197,7584
12198,16246
12198,34582
12199,630
12199,32704
12199,40134
12200,49717
12201,32257
5650,825
5650,4964
5650,37726
5650,37950
12202,49012
12203,1082
12203,33594
12204,19882
12205,675
12206,2652
12207,11563
12208,28928
12208,50001
12209,33498
12210,645
12211,29133
12211,37720
12212,36879
12213,2941
12213,50390
12214,245
12215,33311
10220,23048
10220,49746
12216,420
12216,27452
12216,29626
12217,49012
12218,37971
12219,20854
12219,28614
12219,33186
12219,35926
12219,50414
12220,23764
12220,43994
12221,1078
12221,20369
12221,37583
12222,20379
12222,37720
12222,49012
12223,19259
12224,48132
6676,666
6676,20298
6676,33594
12225,49648
12226,37583
12227,48644
4897,7579
4897,40130
4897,40176
4897,47613
12228,871
12228,23665
12229,36563
12230,29995
12231,2665
12231,8943
12232,258
12233,666
12233,20431
12233,37720
12234,4455
12235,48782
12236,37720
12237,45700
6141,29924
6141,37583
6141,37971
12238,33186
12239,14083
5372,9795
5372,15960
5372,21573
5372,23028
5372,29617
5372,31346
5372,37583
5372,38252
5372,41477
5372,44599
5372,45004
5372,46622
5372,48118
12240,21594
12241,78
12241,4167
12241,21335
12241,21918
12242,48569
12243,22175
12244,666
12244,20094
12244,50414
12245,48569
12246,50143
12247,7570
12248,31469
12249,37583
12250,18182
12251,2797
12252,50007
12253,37583
12254,41232
12255,44200
12256,4167
12256,30695
12257,19982
12258,45527
12259,23764
12260,420
12261,32257
12262,33334
12263,37583
12264,37473
12264,51857
12265,5639
12265,33594
12265,49012
12266,20991
12266,25204
12266,26913
12267,4879
12267,15990
12267,19771
12267,29665
12267,40798
12267,50066
12268,28614
12268,43312
12268,50414
12269,21182
12270,15908
12271,12275
12272,37556
12273,21912
12274,23092
12275,22259
12275,41932
12276,28928
12276,32381
12276,37259
12276,49181
12277,21406
12278,33252
12278,42189
12278,45004
341,1420
12279,34140
12280,32441
12281,29617
12282,546
12283,48118
12284,21188
12284,48357
12285,406
12286,30529
12287,25425
12288,32704
12289,2767
12289,37498
12290,20282
12291,40176
12292,37955
12293,2903
12294,4964
12295,29617
12296,1449
12297,239
12298,8094
12298,49546
12299,49728
570,4764
570,33498
570,49957
12300,2812
12301,35651
3786,42189
12302,23764
12303,37556
12304,19982
12304,23764
12304,33311
12304,45527
12305,19975
12305,23764
12305,40611
12305,49012
12305,50002
12306,50414
12307,16925
12307,35250
12308,47982
12309,37583
12310,21480
12311,33594
12312,20942
12313,24746
12314,22658
12315,24769
12315,37952
12316,45371
12317,549
12318,40134
12319,153
12319,2900
12319,19748
12319,22560
12319,27452
12319,29673
12319,37583
12319,37950
12319,39798
12319,40121
12319,40235
12319,40642
12319,44166
12319,48644
12319,49074
12320,5841
12320,24769
12321,788
12321,1348
12321,38760
12322,2964
12323,20737
12324,272
12324,20028
12324,37583
12325,38113
9786,22175
9786,45004
9786,48118
9786,52138
12326,50066
12327,20854
12327,35928
12327,41818
12328,12820
12329,656
12329,50414
12330,12602
12331,42129
12332,611
12332,1420
12332,29906
12332,35552
12332,46858
12332,50481
5270,813
5270,34582
5270,50240
12333,238
12333,32436
12333,34803
12334,23368
12335,7579
12336,22833
12337,38087
12338,42843
12339,22175
12339,29133
12340,656
12340,35287
12340,37556
12340,37952
12341,29924
12342,299
12342,1015
12342,22375
12342,22382
